pas_lineametro,pas_periodo,pas_valor
METRO_CUENCA_5_INTEGRADOS,202009,171376
METRO_LINEA_K,202009,369133
METRO_CUENCA_6,202009,781455
METRO_LINEA_J,202009,241853
METRO_TRANVIA,202009,368299
METRO_LINEA_A,202009,6375070
METRO_CUENCA_3,202009,361261
METRO_LINEA_L,202009,15593
METRO_LINEA_H,202009,37311
METRO_LINEA_B,202009,961590
METRO_CUENCA_7_INTEGRADOS,202009,212524
METRO_LINEA_1_BUSES,202009,962652
METRO_LINEA_2_BUSES,202009,159132
METRO_CUENCA_9_INTEGRADOS,202009,62220
METRO_CUENCA_6,201909,1359263
METRO_CUENCA_3,201909,710590
METRO_LINEA_2_BUSES,201909,334662
METRO_LINEA_B,201909,2333621
METRO_LINEA_H,201909,67926
METRO_CUENCA_9_INTEGRADOS,201909,155447
METRO_LINEA_K,201909,668885
METRO_TRANVIA,201909,883643
METRO_CUENCA_5_INTEGRADOS,201909,522780
METRO_LINEA_L,201909,69477
METRO_LINEA_A,201909,14121137
METRO_LINEA_1_BUSES,201909,2159721
METRO_CUENCA_7_INTEGRADOS,201909,487625
METRO_LINEA_J,201909,432671
METRO_CUENCA_3,201809,645453
METRO_TRANVIA,201809,791818
METRO_LINEA_1_BUSES,201809,2153143
METRO_CUENCA_6,201809,1250405
METRO_LINEA_2_BUSES,201809,344823
METRO_LINEA_L,201809,67901
METRO_LINEA_J,201809,415097
METRO_CUENCA_9_INTEGRADOS,201809,134863
METRO_CUENCA_5_INTEGRADOS,201809,457438
METRO_LINEA_K,201809,656946
METRO_LINEA_H,201809,62611
METRO_LINEA_A,201809,14099240
METRO_LINEA_B,201809,2249250
METRO_CUENCA_7_INTEGRADOS,201809,440925
METRO_TRANVIA,201709,654798
METRO_LINEA_H,201709,60699
METRO_LINEA_J,201709,443323
METRO_LINEA_L,201709,59358
METRO_CUENCA_7_INTEGRADOS,201709,405479
METRO_CUENCA_5_INTEGRADOS,201709,424417
METRO_LINEA_1_BUSES,201709,2113366
METRO_LINEA_A,201709,15403265
METRO_LINEA_K,201709,634354
METRO_LINEA_B,201709,2769498
METRO_LINEA_2_BUSES,201709,334044
METRO_CUENCA_3,201709,629842
METRO_CUENCA_9_INTEGRADOS,201709,127577
METRO_CUENCA_6,201709,1097723
METRO_LINEA_1_BUSES,201609,2049751
METRO_LINEA_L,201609,59968
METRO_LINEA_2_BUSES,201609,345948
METRO_CUENCA_3,201609,592336
METRO_LINEA_J,201609,424451
METRO_CUENCA_6,201609,1109726
METRO_LINEA_A,201609,15426388
METRO_CUENCA_5_INTEGRADOS,201609,0
METRO_LINEA_K,201609,629031
METRO_LINEA_B,201609,2651233
METRO_CUENCA_7_INTEGRADOS,201609,394334
METRO_TRANVIA,201609,419035
METRO_LINEA_H,201609,0
METRO_CUENCA_3,201509,559120
METRO_LINEA_2_BUSES,201509,349343
METRO_LINEA_B,201509,2563185
METRO_LINEA_K,201509,620170
METRO_CUENCA_6,201509,1034346
METRO_LINEA_A,201509,15259578
METRO_LINEA_L,201509,56535
METRO_LINEA_1_BUSES,201509,1978038
METRO_LINEA_J,201509,416523
METRO_LINEA_L,201409,46398
METRO_LINEA_2_BUSES,201409,362362
METRO_LINEA_A,201409,13876280
METRO_CUENCA_6,201409,907280
METRO_CUENCA_3,201409,489630
METRO_LINEA_B,201409,2362408
METRO_LINEA_J,201409,371036
METRO_LINEA_1_BUSES,201409,1852990
METRO_LINEA_K,201409,584510
METRO_LINEA_2_BUSES,201309,150268
METRO_CUENCA_6,201309,0
METRO_LINEA_B,201309,2211821
METRO_LINEA_L,201309,51831
METRO_LINEA_1_BUSES,201309,1401196
METRO_LINEA_J,201309,340583
METRO_LINEA_A,201309,12975914
METRO_LINEA_K,201309,563977
METRO_CUENCA_3,201309,0
METRO_LINEA_K,201209,541430
METRO_LINEA_L,201209,61751
METRO_LINEA_B,201209,2057264
METRO_LINEA_A,201209,11664331
METRO_LINEA_1_BUSES,201209,978363
METRO_LINEA_J,201209,285202
METRO_LINEA_J,201109,257191
METRO_LINEA_K,201109,439345
METRO_LINEA_A,201109,11779626
METRO_LINEA_1_BUSES,201109,0
METRO_LINEA_B,201109,2058446
METRO_LINEA_L,201109,51160
METRO_CUENCA_7_INTEGRADOS,202008,141745
METRO_TRANVIA,202008,254060
METRO_LINEA_L,202008,14
METRO_LINEA_1_BUSES,202008,674007
METRO_LINEA_B,202008,600073
METRO_CUENCA_5_INTEGRADOS,202008,109516
METRO_LINEA_2_BUSES,202008,131344
METRO_CUENCA_6,202008,605718
METRO_LINEA_J,202008,145814
METRO_LINEA_H,202008,24361
METRO_LINEA_A,202008,4059474
METRO_CUENCA_3,202008,274067
METRO_LINEA_K,202008,218986
METRO_CUENCA_9_INTEGRADOS,202008,40713
METRO_CUENCA_7_INTEGRADOS,201908,489179
